Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
roth staffing companies,"fountain valley, ca","data analyst (supply chain, sql)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
roth staffing companies,"fountain valley, ca","data analyst (supply chain, sql)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"culver city, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"culver city, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"diamond bar, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"diamond bar, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lomita, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lomita, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"paramount, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"paramount, ca",data analyst - 18x special forces candidate,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"san gabriel, ca",data analyst - 35m human intelligence collector,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"torrance, ca",data analyst - 35m human intelligence collector,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"torrance, ca",data analyst - 35m human intelligence collector,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"baldwin park, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"baldwin park, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"bellflower, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"bellflower, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"descanso, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"descanso, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"el cajon, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"el cajon, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"hermosa beach, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"hermosa beach, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"la habra, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"la mesa, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"la mesa, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"la palma, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lakeside, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lakeside, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lynwood, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"lynwood, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"norwalk, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"norwalk, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"pasadena, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"pasadena, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"spring valley, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"spring valley, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"torrance, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"torrance, ca",data analyst - 35p cryptologic linguist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
dataannotation,"hattiesburg, ms",data analyst - ai trainer,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
dataannotation,"memphis, tn",data analyst - ai trainer,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"maximus real estate partners
4.3","san francisco, ca",data analyst - asset management,Data Analyst,0.0,0.0,0.0,0.0,1.0,215280.0
molina healthcare,california,data analyst - ca only,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
molina healthcare,california,data analyst - ca only,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
adm,"decatur, ga","data analyst - decatur, il, quincy, il, oakbrook, il or erlanger, ky",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"broadcast music, inc.","nashville, tn",data analyst - distribution & administration services (hybrid),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"city of industry, ca",data analyst - fire control specialist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"city of industry, ca",data analyst - fire control specialist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"paramount, ca",data analyst - fire control specialist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
by employers,"paramount, ca",data analyst - fire control specialist,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
blue shield of california,"costa mesa, ca",data analyst - health,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
blue shield of california,"costa mesa, ca",data analyst - health,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
blue shield of california,"woodland hills, ca","data analyst - health, principal",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
blue shield of california,"woodland hills, ca","data analyst - health, principal",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
